id,ident,type,name,municipality,iso_country,iata,icao,latitude_deg,longitude_deg
25434,PAVE,small_airport,Venetie Airport,Venetie,US,VEE,PAVE,67.008698,-146.365997
5419,PAVL,small_airport,Kivalina Airport,Kivalina,US,KVL,PAVL,67.734565,-164.559917
25693,PAWB,small_airport,Beaver Airport,Beaver,US,WBQ,PAWB,66.362198,-147.406998
5421,PAWG,medium_airport,Wrangell Airport,Wrangell,US,WRG,PAWG,56.48429871,-132.3699951
5422,PAWI,medium_airport,Wainwright Airport,Wainwright,US,AIN,PAWI,70.638,-159.994995
25794,PAWM,small_airport,White Mountain Airport,White Mountain,US,WMO,PAWM,64.689201,-163.412994
5423,PAWN,small_airport,Noatak Airport,Noatak,US,WTK,PAWN,67.561241,-162.980461
26343,PAYA,medium_airport,Yakutat Airport,Yakutat,US,YAK,PAYA,59.508717,-139.660435
16191,PFAK,small_airport,Akiak Airport,Akiak,US,AKI,PFAK,60.902646,-161.23106
13176,PFAL,small_airport,Allakaket Airport,Allakaket,US,AET,PFAL,66.551804,-152.621994
16509,PFCB,small_airport,Chenega Bay Airport,Chenega,US,NCN,PFCB,60.077602,-147.99468
16820,PFCL,small_airport,Clarks Point Airport,Clarks Point,US,CLP,PFCL,58.833698,-158.529007
17177,PFEL,small_airport,Elim Airport,Elim,US,ELI,PFEL,64.6147,-162.272003
26344,PFKA,small_airport,Kasigluk Airport,Kasigluk,US,KUK,PFKA,60.872747,-162.5247
15766,PFKK,small_airport,Kokhanok Airport,Kokhanok,US,KNK,PFKK,59.433248,-154.80217
9286,PFKO,small_airport,Kotlik Airport,Kotlik,US,KOT,PFKO,63.030602,-163.533005
21224,PFKT,small_airport,Brevig Mission Airport,Brevig Mission,US,KTS,PFKT,65.331826,-166.467848
21435,PFKU,small_airport,Koyukuk Airport,Koyukuk,US,KYU,PFKU,64.876099,-157.727005
21383,PFKW,small_airport,Kwethluk Airport,Kwethluk,US,KWT,PFKW,60.790298,-161.444
17087,PFNO,small_airport,Robert (Bob) Curtis Memorial Airport,Noorvik,US,ORV,PFNO,66.817902,-161.018997
9334,PFSH,small_airport,Shaktoolik Airport,Shaktoolik,US,SKK,PFSH,64.371101,-161.223999
13322,PFTO,small_airport,Tok Junction Airport,Tok,US,TKJ,PFTO,63.32949829,-142.9539948
25982,PFWS,small_airport,South Naknek Number 2 Airport,South Naknek,US,WSN,PFWS,58.702362,-157.005444
5429,PFYU,medium_airport,Fort Yukon Airport,Fort Yukon,US,FYU,PFYU,66.571651,-145.249987
5430,PGRO,large_airport,Rota International Airport,Rota Island,MP,ROP,PGRO,14.173267,145.241103
5431,PGSN,medium_airport,Saipan International Airport,"I Fadang, Saipan",MP,SPN,PGSN,15.119384,145.728848
5433,PGUM,large_airport,Antonio B. Won Pat International Airport,Hagåtña,GU,GUM,PGUM,13.485,144.797282
5434,PGWT,medium_airport,Francisco Manglona Borja / Tinian International Airport,Tinian Island,MP,TIQ,PGWT,14.999207,145.619355
5444,PHHN,medium_airport,Hana Airport,Hana,US,HNM,PHHN,20.795601,-156.014008
5446,PHJH,medium_airport,Kapalua Airport,Lahaina,US,JHM,PHJH,20.9629,-156.673004
5448,PHKO,large_airport,Ellison Onizuka Kona International Airport at Keāhole,Kailua-Kona,US,KOA,PHKO,19.738783,-156.045603
5449,PHLI,large_airport,Lihue Airport,"Lihue, Kauai",US,LIH,PHLI,21.974393,-159.337146
21732,PHLU,small_airport,Kalaupapa Airport,Kalaupapa,US,LUP,PHLU,21.211,-156.973999
5450,PHMK,medium_airport,Molokai Airport,Kaunakakai,US,MKK,PHMK,21.152901,-157.095993
5451,PHMU,medium_airport,Waimea Kohala Airport,Waimea (Kamuela),US,MUE,PHMU,20.001301,-155.667999
5453,PHNL,large_airport,Daniel K. Inouye International Airport,"Honolulu, Oahu",US,HNL,PHNL,21.318387,-157.92567
5454,PHNY,medium_airport,Lanai Airport,Lanai City,US,LNY,PHNY,20.785675,-156.951324
5455,PHOG,large_airport,Kahului International Airport,Kahului,US,OGG,PHOG,20.896263,-156.431837
5457,PHTO,medium_airport,Hilo International Airport,Hilo,US,ITO,PHTO,19.72135,-155.045428
5487,PKMA,small_airport,Eniwetok Airport,Eniwetok Atoll,MH,ENT,PKMA,11.340700149536133,162.3280029296875
5488,PKMJ,large_airport,Marshall Islands International Airport,Majuro Atoll,MH,MAJ,PKMJ,7.06511,171.271656
5490,PKWA,medium_airport,Bucholz Army Air Field,Kwajalein,MH,KWA,PKWA,8.720120429992676,167.73199462890625
5493,PLCH,large_airport,Cassidy International Airport,Kiritimati,KI,CXI,PLCH,1.986278,-157.350011
5495,PPIZ,medium_airport,Point Lay LRRS Airport,Point Lay,US,PIZ,PPIZ,69.732903,-163.005005
5499,PTKK,large_airport,Chuuk International Airport,Weno Island,FM,TKK,PTKK,7.46187,151.843002
5500,PTPN,medium_airport,Pohnpei International Airport,Pohnpei Island,FM,PNI,PTPN,6.985082,158.20992
5501,PTRO,large_airport,Roman Tmetuchl International Airport,Babelthuap Island,PW,ROR,PTRO,7.366965,134.544085
5502,PTSA,large_airport,Kosrae International Airport,Okat,FM,KSA,PTSA,5.35698,162.957993
5503,PTYA,large_airport,Yap International Airport,Yap Island,FM,YAP,PTYA,9.49891,138.082993
5506,PWAK,medium_airport,Wake Island Airfield,Wake Island,UM,AWK,PWAK,19.282437,166.636637
5510,RCBS,medium_airport,Kinmen Airport,Shang-I,TW,KNH,RCBS,24.4279,118.359001
5513,RCFG,medium_airport,Matsu Nangan Airport,Matsu (Nangan),TW,LZN,RCFG,26.159656,119.958376
5514,RCFN,medium_airport,Taitung Airport,Taitung City,TW,TTT,RCFN,22.754856,121.101794
5516,RCKH,large_airport,Kaohsiung International Airport,Kaohsiung (Xiaogang),TW,KHH,RCKH,22.577101,120.349998
5517,RCKU,medium_airport,Chiayi Airport,Shuishang,TW,CYI,RCKU,23.462577,120.390544
5519,RCLY,medium_airport,Lanyu Airport,Orchid Island,TW,KYD,RCLY,22.027000427246094,121.53500366210938
5520,RCMQ,large_airport,Taichung International Airport / Ching Chuang Kang Air Base,Taichung (Qingshui),TW,RMQ,RCMQ,24.2647,120.621002
5521,RCMT,medium_airport,Matsu Beigan Airport,Matsu (Beigan),TW,MFK,RCMT,26.22414,120.002679
5522,RCNN,large_airport,Tainan International Airport / Tainan Air Base,Tainan (Rende),TW,TNN,RCNN,22.950399,120.206001
5524,RCQC,large_airport,Penghu Magong Airport,Huxi,TW,MZG,RCQC,23.568701,119.627998
5526,RCSQ,medium_airport,Pingtung Air Force Base North,Pingtung,TW,,RCSQ,22.700199,120.482002
